Team,Draft & Draft Trade,Trade,Free Agency,Total Roster,Wins,Losses,All-Star,MVP,1st Round,2nd+ Round,Undrafted,Avg. Age,,,,,,
Los Angeles Lakers,2,3,10,15,36,26,1,0,9,3,3,29.1,,,,,,
Utah Jazz,5,3,7,15,45,17,3,0,5,6,4,27.5,,,,,,
Brooklyn Nets,1,4,10,15,42,20,1,0,7,6,2,28.3,,,,,,
Oklahoma City Thunder,3,7,5,15,21,41,0,0,6,4,5,23.7,,,,,,
Chicago Bulls,4,7,4,15,26,36,1,0,9,1,5,26.9,,,,,,
Phoenix Suns,5,5,4,15,44,18,2,0,9,4,2,27,,,,,,
San Antonio Spurs,7,2,5,14,31,30,0,0,11,2,1,25.5,,,,,,
Dallas Mavericks,4,7,4,15,34,27,0,0,7,4,4,27.1,,,,,,
Toronto Raptors,3,3,9,15,26,36,0,0,7,1,7,26.6,,,,,,
Los Angeles Clippers,2,6,7,15,43,21,1,0,10,4,1,28.9,,,,,,
Milwaukee Bucks,4,4,7,15,38,23,0,0,6,7,2,27.5,,,,,,
Denver Nuggets,5,3,7,15,41,21,0,0,6,6,3,26.5,,,,,,
Atlanta Hawks,7,4,4,15,34,29,0,0,12,2,1,25.7,,,,,,
Philadelphia Sixers,6,5,4,15,41,21,1,0,8,5,2,27.6,,,,,,
Miami Heat,4,6,4,14,33,30,0,0,6,4,4,29.2,,,,,,
Portland Trail Blazers,6,4,4,14,34,28,1,0,10,2,2,26.1,,,,,,
New York Knicks,6,1,8,15,35,28,1,0,12,1,2,25.8,,,,,,
Washington Wizards,3,5,5,14,28,34,0,0,7,5,2,26.4,,,,,,
Cleveland Cavaliers,5,5,5,15,21,41,0,0,9,3,3,24.7,,,,,,
Houston Rockets,1,8,5,15,15,47,0,0,8,2,5,26.6,,,,,,
Minnesota Timberwolves,6,7,1,14,19,44,0,0,10,3,1,23.9,,,,,,
Golden State Warriors,8,2,4,14,31,31,0,0,7,3,4,26.3,,,,,,
New Orleans Pelicans,5,7,2,14,27,35,1,0,10,3,1,24.5,,,,,,
Detroit Pistons,5,5,5,15,19,43,0,0,10,3,2,24.4,,,,,,
Boston Celtics,10,3,2,15,33,30,2,0,12,2,1,24.7,,,,,,
Sacramento Kings,6,5,4,15,25,37,0,0,8,6,1,24.8,,,,,,
Memphis Grizzlies,6,4,5,15,31,30,0,0,9,3,3,24.2,,,,,,
Charlotte Hornets,9,4,2,15,30,32,0,0,8,5,2,24.9,,,,,,
Indiana Pacers,3,4,8,15,29,32,1,0,8,2,5,26.2,,,,,,
Orlando Magic,4,7,4,15,19,43,1,0,12,2,1,24.4,,,,,,
